,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
485,WTSQ.SFA9CS,1995.06,1044.45,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
486,WTSQ.SFA9CS,1995.09,1006.85,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
487,WTSQ.SFA9CS,1995.12,1008.06,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
488,WTSQ.SFA9CS,1996.03,1040.91,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
489,WTSQ.SFA9CS,1996.06,1031.97,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
490,WTSQ.SFA9CS,1996.09,1024.49,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
491,WTSQ.SFA9CS,1996.12,1026.14,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
492,WTSQ.SFA9CS,1997.03,994.17,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
493,WTSQ.SFA9CS,1997.06,987.83,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
494,WTSQ.SFA9CS,1997.09,1006.24,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
495,WTSQ.SFA9CS,1997.12,998.72,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
496,WTSQ.SFA9CS,1998.03,1023.32,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
497,WTSQ.SFA9CS,1998.06,1019.3,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
498,WTSQ.SFA9CS,1998.09,974.92,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
499,WTSQ.SFA9CS,1998.12,984.46,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
